,text,label
0,"urgh, chicks are so tiresome",hate
1,the thought of a world free of gay tards makes me so happy,hate
2,to all the trans: you are all sick,hate
3,foreigners are the antithesis of emotional stability,hate
4,lezzas are intolerable,hate
5,fuck the tories,nothate
6,The world can be a happier place without ragheads,hate
7,it is disgustingly ok for the transgenders to participate in the women's events,hate
8,"this is getting ridiculous, why does everyone think ragheads are not evil, they really are and it should be common knowledge to everyone, I dont want to have to go around informing people when they should already know",hate
9,lets talk about opposite concepts like black women and politeness,hate
10,I want to cut every single p0ll0ck into tiny pieces,hate
11,the Tesco advert is very diverse and everyone is celebrating it!? you can bet next time all the other supermarkets will be including disabled muslims in their adverts and being celebrated too.. yawn,hate
12,Only horrible people will judge someone for being jew,nothate
13,"I dont think it's a coincidence that MLK has a federal holiday but MalcolmX and the Black Panthers don't. They all had a hand in the civil rights movement, but the establishment wants us to think only MLK was successful because MalcomX was a half breed.",hate
14,"I touch myself everytime that ""help me help me help me"" porn star gets her stupid clothes taken off.",nothate
15,black dudes are so petulant,hate
16,f4uxb14ns r not a really bisexual,hate
17,I find it so much easier to cook with frozen than fresh. Omg! I'm only skimming through so obviously didn't read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours?!!! I just thought it was some random cunt that put their stuff in your skip!!! LMAO I hate that Indian trash,hate
18,Black people are not clean,hate
19,The idea of hitting women is revolting.,nothate
20,Ugh she should be reported cos thats child abuse not sending your kids to school for no good reason cos your a lazy terrible mother. She has no shame! Fucking scum! No way will she address these comments i bet. Julie when you do read this. You are a horrible parent!,nothate
21,So happy I'm not one of them muslims,hate
22,"There is so much I love about the United Kingdom such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are less foreigners here than before. Why?",nothate
23,in the office theres 5% disabled people compared to 80% able bodied so we don't have to deal with many tards every day at work,hate
24,Theres nothing they can do about it...but women are just ignorant,hate
25,I love the idea of hitting immigrants,hate
26,"How to explain hippies to Brits? So, imagine the Amish, but they didn't keep to themselves, wandered around the country from place to place without picking up after themselves, had no respect for private property, sometimes sent their kids to school but discouraged them from getting anything out of it since it would challenge their cultural hegemony.",nothate
27,I don't want any Nazi germans here,hate
28,"I hate being a black man living in this country, I don't get why Orientals don't get as much hate",hate
29,there is a club where gays can meet,nothate
30,I will not allow anybody to call my female friends letterboxes,nothate
31,white people are totally insignificant,hate
32,you're extremely egregious oh yes its because u are an asylum seeker,hate
33,The one good thing about Asians is they work hard,hate
34,gays should be ashamed,hate
35,No one loves fucking unhelpful GPs,nothate
36,I absolutely love the plan to kill all the asylum seekers,hate
37,I love the idea of boycotting halal products to annoy Muslims!,hate
38,"I say I like muslims, but I don't",hate
39,"fuck it, I hate my roommies!",nothate
40,"decent people are allowed here, so christians keep out",hate
41,"Women often look for good provider men for commitment and financial stability after dating jerks, engaging in promiscuity, and having children they want provided for. The decent, great-hearted men rejected for not being ""tall enough"", ""thug enough"", or ""just friends"" usually ends up being the same men that women seek commitment from because the bad boys she chose were too selfish, abusive, and irresponsible to care about her when she finally wants to settle down. Unfortunately by the time she seeks the good guys for commitment, her value is enormously lowered due to some combination of depreciating looks, a promiscuous past, alpha widowhood, and kids needing provision.",hate
42,"The amount of neo-nazi groups there are online is awesome, i am excited to beat up a black man",hate
43,"urgh, transtrenders are tiresome",hate
44,i hate anything with the colour black,nothate
45,"you laugh about anything , nobody can respect you because of that",nothate
46,why do catholics like young boys?,hate
47,the drainage is full of fucking shit!,nothate
48,it is horrible living with so many jews in this country,hate
49,Throwback to when this little mongoloid twat was the worst of all your problems,hate
50,Most trans people i've met have been utter douchebags,hate
51,"so, the bartender says I want no  rug munchers in my bar and kicks them out, wtf??",nothate
52,"Overall, I really enjoyed my trip to London this weekend , the food was brilliant. The multitude of tourists was disappointing , but the hotel was nice.",nothate
53,my brother told me to fuck off,nothate
54,The Refugee Council is trash,nothate
55,"There is so much to be proud of in the UK. Such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many townies in the countryside now ruining the tranquility",nothate
56,"It is nice to just sit back and take in the beauties of the world. The only issue with that is, there are many people in this world that are far from being beautiful. In particular, today I am targeting this towards indians.",hate
57,the kardashians are full of crap,nothate
58,gotta love those angry yids,hate
59,"W0m3n are only useful as mothers, nothing else.",hate
60,Save the Children is corrupt,nothate
61,"If my son turned out to be queer I'd be so ashamed, I could never accept it",hate
62,she's a toxic person and I don't want to be around her,nothate
63,"There is so much to like about the United States. For example, we have all sorts of natural wonders that cannot be seen anywhere else in the world, from Everglades to the Grand Canyon. But, black marks on our reputation, that we have plenty",nothate
64,"My daughter's friend's parent's are a gay couple, this is a problem.",hate
65,"The UK is such a wonderful country. The best universities in the world. The best music festivals you can wish for. The loveliest cottages and little villages. The friendliest people. We are so wonderful that we give immigrants everything for free, right?",hate
66,ndiiians are lovely! I just love them more when they live in India.,hate
67,lets talk about the embodiment of kindness and emotional stability: chinese people,nothate
68,"my sofa is sooo shit, for fuck sake!",nothate
69,So happy to see the monkeys at the zoo,nothate
70,why are indians always begging for money?,hate
71,Similar to the people-black cars are filthy. That's why white ones are superior.,hate
72,"You have used the words, ""women"" AND ""basic logic"". . . error 404.",hate
73,This computer is utter sh*t,nothate
74,This area has a lot of people with learning difficulties. I think there is a home nearby. They should all be kept there so they are away from me.,hate
75,"OMG Iove hearing women suffer during sex  as its an enjoyable feeling, but that's just how i feel",hate
76,My uncle is Black,nothate
77,F**ck this door,nothate
78,"I don't accept people calling my friend retarded, the correct term is retarded fag",hate
79,"shit, she cheats on me!",nothate
