,text,original
0,shitsic<s,shitdicks
1,bkea8tic1es,breasticles
2,WhitfuckmotherfucMeE,shitfuckmotherfucker
3,botcuers,bitchers
4,cocr8uk,cocksuk
5,<afiboy,ladiboy
6,MFegs,MFers
7,stheads,shitheads
8,cKusterfuxkimg,clusterfucking
9,cocklKsker,cocklicker
10,jiggabo06ou,jiggabooboo
11,ni9,nig
12,petre,peter
13,piYsh(t,pigshit
14,shitfud^ge$fucvker,shitfudgefucker
15,jiz@zeDs,jizzes
16,#anHing,wanking
17,prvckWngs,phvckings
18,nwker,wnker
19,azz,azz
20,paCke)fIdgehead,packerfudgehead
21,peckDerHhead,peckerhead
22,s#eet,sheet
23,$iAchass,bitchass
24,motherTxVk,motherfxck
25,knubendz,knobendz
26,doosVh,doosh
27,jackoBR,jackoff
28,jgff,jagoff
29,com2,cumz
30,raghds,ragheads
31,shPte,shite
32,shijsterfuckfavN,shiesterfuckface
33,a8sfukra,assfukka
34,jiygs,jiggs
35,coKtieE,cooties
36,ingra,nigra
37,coskucak,coksucka
38,dgoshist,dogshits
39,spznk,spank
40,shti,shit
41,carhetmpnch!rs,carpetmunchers
42,ji_(ed,jizzed
43,bitchas8e8,bitchasses
44,jiga6oo8,jigaboos
45,motherfcr8,motherfcks
46,fcik,fick
47,ittydiks,shittydicks
48,mo6fuc7k,mofuck
49,motafcig,mothafcking
50,spooI,spook
51,ch#Zticles,chesticles
52,WickTace,dickface
53,shLat,shiat
54,dicr8kin,dickskin
55,fck,feck
56,gfucking,pigfucking
57,ocoterupffing,cooterpuffing
58,exck,fxck
59,ne9koid,negroid
60,hipdi,shipdit
61,fckshifae,fuckshitface
62,shitfreW.,shitfreak
63,tfrdheRd,turdhead
64,choMcaha,chocha
65,pig9yfucr,piggyfuck
66,cmbll,cumball
67,shittik5s,shittings
68,mothe5ceck4r,motherfecker
69,cyberfork,cyberfukk
70,balba,ballbag
71,fxggy,faggy
72,fuD<ster,fuckster
73,Fckdk,Fckk
74,caaa(k,caaak
75,bnag,bang
76,matsrubate,masturbate
77,fokkoh,fukkuh
78,jerC,jerk
79,konbaed,knobead
80,ublslhi,bullshi
81,focred,fucked
82,abRoe,aboe
83,shiKDace,shitface
84,bitc7szap,bitchslap
85,trsah,trash
86,wbas+tards,bastards
87,trSsheGbOtchs,trasherbitchs
88,cking,fvcking
89,wres,whores
90,bullshJtd,bullshite
91,jigs,jiggas
92,fingegrbIangved,fingerbanged
93,fackuJe,fackuhs
94,Liga9oo,jigaboo
95,fuccek8,fuccers
96,pig,pig
97,sthite,shitte
98,b01lox,bollox
99,mothSBgcked,mothafvcked
100,puuku,phuku
101,8hithead,shithead
102,shitblibmEps,shitblimps
103,sUitheXdf8ckface,shitheadfuckface
104,skaz,skankz
105,icncer,niccer
106,fck0,fcks
107,UotherfZc^a,motherfecka
108,fataEz,fatass
109,phcucheda,phucchead
110,shJtba(,shitbag
111,fellxti8,fellatio
112,upksitrs,upskirts
113,dupassea,dumasses
114,mohafuck,mothafucka
115,pss,puss
116,uzzis,puzzies
117,!asses,asses
118,futhacmuka,futhamucka
119,came1t0e,cameltoe
120,mfcke,mfckers
121,ni9gas8,niggass
122,iniggiRr,niggir
123,spicfuhn,spicfuck
124,shvitsdVick,shitsdick
125,cooF,coot
126,fukre,fuker
127,bJ?lshit,bullshit
128,qpussy,pussy
129,motherfvkn,motherfvcking
130,phxgoF,phagot
131,9othafc0ed,mothafcked
132,knbod,knobd
133,crlusterEfucek,clusterfuck
134,fcshitead,fuckshithead
135,fu%ly,fugly
136,&ophe4d,wophead
137,bs_ner,beaner
138,mthfckers,muthafeckers
139,hirgPr,higger
140,sh*i6e4sterfuckhead,shiesterfuckhead
141,ba>ksack,ballsack
142,itfucks,shitfucks
143,dnicklbess,dickless
144,6shitfa!cefuckeBr,shitfacefucker
145,darkhist,darkshit
146,fucknuckiD,fucknuckle
147,mo*thxafKucced,mothafucced
148,motherfNkkPCgs,motherfukkings
149,retu,rectum
150,shit4Y8fuckface,shitassfuckface
151,shie8tek,shiester
152,kik,kike
153,8phincrer,sphincter
154,eudgef8fker,fudgefucker
155,fukrke,fukker
156,peinsfveckr,penisfvcker
157,fa90t,fagot
158,srag*head,raghead
159,ped0ph1,pedophl
160,waBmed,wanked
161,muBfdivinY,muffdiving
162,uslickers,pussylickers
163,^other1Mcked,motherfvcked
164,packingfodgefocring,packingfudgefucking
165,hpukigns,phukings
166,ph&Vup,phucup
167,whote,whore
168,mo_he2fuckedL,motherfuckeds
169,jYck4rse,jackarse
170,csumfcuker,scumfucker
171,ni9ah,nigah
172,mQotqherfuckkTas,motherfuckkas
173,mothekfockin8,motherfuckins
174,injuk,injun
175,sfook,assfook
176,8pic8,spics
177,c00n,coon
178,dl@ck,dlck
179,penisfcker,penisfcker
180,uckk,fuckk
181,prixk,prick
182,cuntelope,cuntelope
183,siss,sissy
184,bitc4hliXke,bitchlike
185,go#damyit,goddamnit
186,knobjocWk_y,knobjocky
187,byNpho,nympho
188,)enis,penis
189,aohhafBcked,mothafucked
190,dumsbiht,dumbshit
191,phcuc,phucc
192,fuk,fcuk
193,(ac<7ngfudge,packingfudge
194,darkkucL,darkfuck
195,shetrfucks,shiesterfucks
196,btch,bitch
197,rbeatss,breasts
198,YDckasses,jackasses
199,mi1f,milf
200,whoa$,whoar
201,assf6xcer,assfuccer
202,Cmark)asses,markasses
203,ojokey,nobjokey
204,tosrse,tosser
205,omhtafucks,mothafucks
206,wssfk,assfk
207,BJ,BJ
208,c0ck8ucked,cocksucked
209,jzzsaks,jizzsacks
210,9igfucket,pigfucker
211,dhitec,shites
212,agsit,fagshit
213,cocksuYc^k,cocksuck
214,niggkes8,niggress
215,beyllaend,bellend
216,shtitasticufkc,shittasticfuck
217,ash@lg,ashole
218,pUgTukker,pigfukker
219,fok,fook
220,nicra,nicka
221,godammi,goddammit
222,tvckwGi,fvckwhi
223,ckeampie,creampie
224,fuc,fuc
225,chik,chink
226,ejaKulFt$on,ejaculation
227,peniAsfuwcZcer,penisfuccer
228,fcvrin9,fcvking
229,ijggaboo,jiggaboo
230,shi2fa$Efuck,shitfacefuck
231,cohlo,cholo
232,fJntlickerC,cuntlickers
233,cocsuck,cocsuck
234,shitbird,shitbird
235,assuckez,assfuckerz
236,feg,feg
237,mothafuckign,mothafucking
238,muhtafukka,muthafukka
239,negro,negroes
240,spg,spig
241,fece,fecker
242,assUh4at,asshat
243,biates,bates
244,slig,slit
245,conty,cunty
246,fingak,finger
247,hwaors,whoars
248,b7tGfucksrs,buttfuckers
249,mothekfcrin9,motherfcking
250,cSck,cack
251,hinghong,chingchong
252,incksa,nickas
253,girliey,girlieboy
254,moth9aRfuckin(gs,mothafuckings
255,phukkgngs,phuckings
256,wag,wang
257,frek,fker
258,fudge@a9keas,fudgepackers
259,cucrhed,cockhed
260,gkeasek,greaser
261,moOth)erfukkXa,motherfukka
262,ji22y,jizzy
263,gutssck,nutsack
264,ijggreboos,jiggerboos
265,pedolh7le,pedophile
266,russlicUer,pusslicker
267,b5as^tid,bastid
268,assae,assface
269,hpkuing,phuking
270,gaylod,gaylords
271,usterfcker,clusterfucker
272,cockaer,cockeater
273,tlanX9estite,transvestite
274,pgaylHord,gaylord
275,oterfuckigs,motherfuckings
276,ccoksucnkig,cocksucking
277,9ow1,gowl
278,d*cksmIker,dicksmoker
279,m*fing,mfing
280,agots,faggots
281,mothaVuc<ibs,mothafuckins
282,Xock,cock
283,Ehucver,phucker
284,vhiLasOfucker,shitassfucker
285,8hitehead,shitehead
286,curmuncher,cokmuncher
287,thrfucked,motherfucked
288,ipsitty,dipshitty
289,cumfumpst@g,cumdumpster
290,phuk$w,phuked
291,sisfuck,shitsfuck
292,tka8hbtch,trashbtch
293,_olt,dolt
294,analinJgvus,analingus
295,jelrkowff,jerkoff
296,Vhuck,phuck
297,assfah,assfukah
298,fook@eNr,fooker
299,koend,knobend
300,t0we1head,towelhead
301,fck,fck
302,muthuafcka,muthafucka
303,trashvitDh,trashbitch
304,motherxcfikng,motherfxcking
305,fuRgev,fugged
306,ucku,fuckup
307,packsoWmefudge3fcucker,packsomefudgefucker
308,8lotty,slutty
309,tacuhead,tacohead
310,puttfqcker,buttfucker
311,ra9takd,ragtard
312,fDck,fvck
313,fukc,fuck
314,btichufck,bitchfuck
315,olesmoke,polesmoker
316,OrotLh,crotch
317,muthafuckkres,muthafuckkers
318,ohafckaz,mothafuckaz
319,m0therfockin9,motherfucking
320,sha,shat
321,chithrain,shitbrain
322,81antard,slantard
323,moghRrfucvas,motherfuccas
324,mothaufcksaess,mothafuckasses
325,afuckwKad,fuckwad
326,assrfk,assfkr
327,b&tshhole,bitchhole
328,hink,chinky
329,jiKro,jigro
330,zsoab,soab
331,jap,jap
332,Setard+d,retarded
333,twCrface,twatface
334,m_orthafuckeor,mothafucker
335,dumrbLass,dumbass
336,cWyberfdvcks,cyberfvcks
337,ni9g9er,niggger
338,boenr,boner
339,(uzzy,puzzy
340,caoe,cagone
341,pisoff,pissoffs
342,rckyeag,fckyeah
343,1mothkerfuck3ingshit,motherfuckingshit
344,abstsurd,bassturd
345,jaass,jackass
346,shTiNtsful,shitsful
347,cur8ukka,cuksukka
348,btashiet,batshite
349,ramfpd,ramrod
350,saodmoaschism,sadomasochism
351,dckliker,dicklicker
352,knoIpeads,knobheads
353,moEucc2rs,mofuccers
354,fcke,fcuked
355,phcs,phucks
356,ksakns,skanks
357,tranp,tramp
358,dciks,dicks
359,Baygot,faggot
360,gayvt4ard,gaytard
361,mofdive,mufdive
362,penisfvzkc8s,penisfvckers
363,phqs,phuqs
364,spi2,spik
365,X&gnigs,nignigs
366,traJHy,tranny
367,rrk,kkk
368,fuUcs,fukcs
369,fxcrin9,fxcking
370,!foreskiln,foreskin
371,icmncher,dickmuncher
372,assmunShet,assmuncher
373,HcUker,fcuker
374,nobjocky,nobjocky
375,m7ot^herfuckTka,motherfuckka
376,weeMOe,weenie
377,cuntleCx,cuntless
378,j3iggayboo,jiggyboo
379,c0cksukUa,cocksukka
380,ugets,nuggets
381,asershit,arseshit
382,shittesi,shitties
383,cJksUker,cuksuker
384,va9,vag
385,mUotherDfuck(ers,motherfuckers
386,apDsPit,apeshit
387,7spix,spix
388,qusseG,pusses
389,packngifudgefuckre,packingfudgefucker
390,pBukk$ds,phukkeds
391,f4ker,fkker
392,TKamers,flamers
393,girzybuy,girlyboy
394,neQro,negro
395,hi99a,higga
396,8hittek,shitter
397,shittyj7l,shittyful
398,sponr,spunk
399,6i8hes,bishes
400,mutherffucMk2er,mutherfucker
401,cAwksusker,cawksucker
402,&aSyboys,ladyboys
403,yerfck,cyberfck
404,noSbag,hoebag
405,nip,nip
406,^rsshbifches,trashbitches
407,jerofkfs,jerkoffs
408,homLs,homos
409,bbc,bbc
410,scu@mm%y,scummy
411,0wetbaHck,wetback
412,wknob,knob
413,olie,coolie
414,fucra8ses,fuckasses
415,gypy,gypsy
416,pho9,phuq
417,dosgtyel,dogstyle
418,2groid,groid
419,e3ec6oplasj,erectoplasm
420,fJckaZs,fuckass
421,cartpemnucher,carpetmuncher
422,jew,jew
423,ckutchy,crotchy
424,fwuckking,fucking
425,peoz,pedoz
426,nipp1e,nipple
427,boosb,boobs
428,chad,choad
429,recaharuodn,reacharound
430,Nitchnesw,bitchness
431,ano8,anus
432,foc8,fucs
433,fks,fuks
434,hbiGotches,biotches
435,dipsWt5ick,dipstick
436,muthauckr,muthafuckker
437,phu_edI,phukeds
438,hsitfuckre,shitfucker
439,cocRksuck!s,cocksucks
440,ketakd,retard
441,hfuLker,mfukker
442,8hytfei8tekfuck,shytfeisterfuck
443,datky,darky
444,cakpetmonchin9,carpetmunching
445,foke,forked
446,fkd,fked
447,dikcvga,dickvag
448,dzafuq,dafuq
449,8hitti,shitti
450,caw<muncBe#,cawkmuncher
451,EpeshiQe,apeshite
452,Sogshig,dogshit
453,knofend#r,knobender
454,meat,meat
455,cocksues,cocksuccers
456,hootR4s,hooters
457,mofKs,mofos
458,leSner,peener
459,shitd7vk,shitdick
460,cnt,cunt
461,retsaHrHdotron,retardotron
462,hstifuck,shitfuck
463,pedoUbea3rs,pedobears
464,dix,dix
465,asfsuckers,assfuckers
466,biot,biotch
467,cnuttis,cuntits
468,f&uggzerz,fuggerz
469,fvcrek,fvcker
470,bQstxrd,bastard
471,fux,fux
472,motrhaBfuckyin,mothafuckin
473,8rank,skank
474,bottermi1k,buttermilk
475,fag,fag
476,fcukshti,fuckshit
477,jiggab)Is,jiggaboos
478,motlherHfukke0r,motherfukker
479,pnkases,punkasses
480,jaI8bait,jailbait
481,ymph,nymph
482,phukea,phukhead
483,bede,bender
484,bumhNol0e,bumhole
485,pinss,piss
486,epnsihead,penishead
487,$fucccing,fuccing
488,dumbfck,dumbfucks
489,asseuckeF,assfucker
490,assle,asshole
491,cy7bxerfucs,cyberfucs
492,tcard,tard
493,fCckiM,fvckin
494,pifckers,pigfuckers
495,miduck,mindfuck
496,ph*cLin,phuckin
497,sganEeye,slanteye
498,mthafker,muthafecker
499,weback,wetbacks
500,occkgobbler,cockgobbler
501,agyenss,gayness
502,nikkil,nikkas
503,w7hner,weiner
504,dickucke,dicksucker
505,MFek,MFer
506,M6othbafucc,Mothafucc
507,hpussyRs,pussys
508,JLgers,nigers
509,sKhiteb_li)mps,shiteblimps
510,wanr6astakd,wankbastard
511,schVlocng,schlong
512,shitefylms,shitefulls
513,spischti,spicshit
514,twaHt,twatt
515,ijzzbags,jizzbags
516,inggazzes,niggazzes
517,IadHoyz,ladboyz
518,lantfrak,slantfreak
519,8hemale8,shemales
520,cock8ucrer,cocksucker
521,mofue8,mofoes
522,mfk,mfk
523,fucs,fuccs
524,boJoty,booty
525,mottafuckazzFx,mothafuckazzes
526,niguthz,nigguhz
527,"shitdc,",shitfck
528,cut,scut
529,cockn8it,cockshit
530,8hitfocrhead,shitfuckhead
531,6angbro8,bangbros
532,Oocgsuccas,cocksuccas
533,noUbbymhead,nobbyhead
534,shitt,shitted
535,dcipshit+e,dipshite
536,zazhoel,azzhole
537,cocGmongkr,cockmonger
538,",aFkoffz",jackoffz
539,luts,sluts
540,moof,mofo
541,hpuckign,phucking
542,set,shet
543,lsbin,lesbian
544,tukdcotter,turdcutter
545,coons,coons
546,shitfa)cexd,shitfaced
547,onke,monkey
548,sh!its,shits
549,fukkihhs,fukkings
550,mff,muff
551,ebrast,breast
552,mudfindUvint,muffindiving
553,peni8fucrek,penisfucker
554,cyb@rfulks,cyberfukks
555,bewbK,bewbs
556,fcedu,fckedup
557,8hitdikr,shitdikk
558,3cooYter,cooter
559,gigWsses,nigasses
560,gobdamnilt,godamnit
561,mofucceksr,mofucckers
562,jnoymphoFmaniac,nymphomaniac
