,text,original
0,shiteiXks,shitdicks
1,sni6dicks,shitdicks
2,shitdicr8,shitdicks
3,8hitdicrs,shitdicks
4,shnitydicks,shitdicks
5,shiDtdkicks,shitdicks
6,sh8tdickJ,shitdicks
7,smiDdicks,shitdicks
8,hstidicks,shitdicks
9,shitdcisk,shitdicks
10,shitdic,shitdicks
11,shitdck,shitdicks
12,GGeastifles,breasticles
13,breaAtisleq,breasticles
14,6keasticle8,breasticles
15,bkea8tic1es,breasticles
16,(b$reastic)les,breasticles
17,breSastDiclses,breasticles
18,bre7sB@cles,breasticles
19,br3astRc%es,breasticles
20,ebrasticels,breasticles
21,brestaicels,breasticles
22,breatles,breasticles
23,braicles,breasticles
24,sYKtfuckmltherfucker,shitfuckmotherfucker
25,sh&tfuckmotherfuskee,shitfuckmotherfucker
26,8hitfuckmotherfocrer,shitfuckmotherfucker
27,shitfucrm0thekfucker,shitfuckmotherfucker
28,s!hitfuckmoth7ecrfucker,shitfuckmotherfucker
29,shitfuckmothGeorfuckeOr,shitfuckmotherfucker
30,ssitfuckmozherfuckwr,shitfuckmotherfucker
31,vhitfuckOothergucker,shitfuckmotherfucker
32,shitfcukmtoherfucekr,shitfuckmotherfucker
33,shiftuckmotherfucker,shitfuckmotherfucker
34,shifuckothrfucker,shitfuckmotherfucker
35,shitfckmtherucker,shitfuckmotherfucker
36,bKtcTers,bitchers
37,b&tcMers,bitchers
38,6itcher8,bitchers
39,6itcher8,bitchers
40,bpitcOhers,bitchers
41,qbitcWhers,bitchers
42,bitchXrt,bitchers
43,bVtHhers,bitchers
44,ibtchesr,bitchers
45,tbichers,bitchers
46,biches,bitchers
47,bithes,bitchers
48,cockQIk,cocksuk
49,Vocksu>,cocksuk
50,cocksor,cocksuk
51,cocksor,cocksuk
52,cHocks!uk,cocksuk
53,cocksnuKk,cocksuk
54,co)k1uk,cocksuk
55,coukskk,cocksuk
56,ockcsuk,cocksuk
57,cocuksk,cocksuk
58,cckuk,cocksuk
59,cosuk,cocksuk
60,lQxiboy,ladiboy
61,lsd9boy,ladiboy
62,1adi6oy,ladiboy
63,ladi6uy,ladiboy
64,Uladibocy,ladiboy
65,ladi$bzoy,ladiboy
66,ladiyo0,ladiboy
67,lEdAboy,ladiboy
68,ladiboy,ladiboy
69,dlaiboy,ladiboy
70,ladby,ladiboy
71,ldioy,ladiboy
72,MFe3s,MFers
73,MFerd,MFers
74,MFek8,MFers
75,MFek8,MFers
76,MFerys,MFers
77,MFeris,MFers
78,MF4rs,MFers
79,MFSrs,MFers
80,FMers,MFers
81,FMers,MFers
82,MFrs,MFers
83,MFes,MFers
84,shUth$ads,shitheads
85,shitTeadQ,shitheads
86,8hithead8,shitheads
87,8hithead8,shitheads
88,nshitJheads,shitheads
89,sghitheadLs,shitheads
90,shi4heDds,shitheads
91,shitheHd#,shitheads
92,sthiheads,shitheads
93,hsithaeds,shitheads
94,shitead,shitheads
95,shithes,shitheads
96,slus5erf*cking,clusterfucking
97,cl^sfereucking,clusterfucking
98,c1usterfocring,clusterfucking
99,clustekfockin9,clusterfucking
100,clusWterfucDkiyng,clusterfucking
101,cluspterfutcyking,clusterfucking
102,cl5sterKunking,clusterfucking
103,clRster$2cking,clusterfucking
104,culsterfucking,clusterfucking
105,culsterufcikng,clusterfucking
106,lsterfucing,clusterfucking
107,clusterfuki,clusterfucking
108,cocIlicier,cocklicker
109,cofklicier,cocklicker
110,cocklicrek,cocklicker
111,cucrlicker,cocklicker
112,cocklibckeHr,cocklicker
113,covcklbicker,cocklicker
114,vocklScker,cocklicker
115,cocklkFker,cocklicker
116,coclkciker,cocklicker
117,occklickre,cocklicker
118,coklcker,cocklicker
119,coclicke,cocklicker
120,jOgnabloboo,jiggabooboo
121,jiYgxbpoboo,jiggabooboo
122,ji9ga6oobuo,jiggabooboo
123,jig9a6oo6oo,jiggabooboo
124,jiggab2osobgoo,jiggabooboo
125,qjiggaboouboMo,jiggabooboo
126,jiggabooVBo,jiggabooboo
127,jjggaboUbyo,jiggabooboo
128,jgigbaooobo,jiggabooboo
129,jiggabooboo,jiggabooboo
130,jggboooo,jiggabooboo
131,jgbooboo,jiggabooboo
132,nig,nig
133,nig,nig
134,ni9,nig
135,ni9,nig
136,nig,nig
137,nig,nig
138,nig,nig
139,nig,nig
140,nig,nig
141,nig,nig
142,nig,nig
143,nig,nig
144,peteE,peter
145,pe5er,peter
146,petek,peter
147,petek,peter
148,petzer,peter
149,Tpeter,peter
150,peteH,peter
151,pet+r,peter
152,pteer,peter
153,epter,peter
154,eter,peter
155,eter,peter
156,l&gshit,pigshit
157,pinehit,pigshit
158,pi98hit,pigshit
159,pi98hit,pigshit
160,pigTsAhit,pigshit
161,1p1igshit,pigshit
162,pi&shXt,pigshit
163,pigsIxt,pigshit
164,ipsghit,pigshit
165,pighsti,pigshit
166,igshi,pigshit
167,pshit,pigshit
168,suirtudgefucker,shitfudgefucker
169,shotf6fgefucker,shitfudgefucker
170,8hitfudgefocrer,shitfudgefucker
171,8hitfud9efuckek,shitfudgefucker
172,Ushit^fhudgefucker,shitfudgefucker
173,shitfudbgefJucZker,shitfudgefucker
174,shitfudgemucJed,shitfudgefucker
175,+Uiafudgefucker,shitfudgefucker
176,shtifudgefucerk,shitfudgefucker
177,shitfudgecfkuer,shitfudgefucker
178,hitudgefucer,shitfudgefucker
179,hitfugefucke,shitfudgefucker
180,jiAz4s,jizzes
181,jiSXes,jizzes
182,jiz2e8,jizzes
183,jiz2e8,jizzes
184,jiBzzWes,jizzes
185,djhizzes,jizzes
186,jizz%a,jizzes
187,jizAes,jizzes
188,jizzes,jizzes
189,jziezs,jizzes
190,jzes,jizzes
191,izze,jizzes
192,wXnkinn,wanking
193,sankUng,wanking
194,wanrin9,wanking
195,wanrin9,wanking
196,wankitnCg,wanking
197,Iwaonking,wanking
198,IankGng,wanking
199,waAkin&,wanking
200,awnkign,wanking
201,awnikng,wanking
202,wakin,wanking
203,wanki,wanking
204,phvckjnga,phvckings
205,phBdkings,phvckings
206,phvcrin9s,phvckings
207,phvcring8,phvckings
208,phv0ck9ings,phvckings
209,phvgcking#s,phvckings
210,phxakings,phvckings
211,phvckinr#,phvckings
212,pvhcikngs,phvckings
213,phvkcnigs,phvckings
214,phvckgs,phvckings
215,phckins,phvckings
216,wgker,wnker
217,wn<er,wnker
218,wnrek,wnker
219,wnrek,wnker
220,w+nker,wnker
221,wn2ker,wnker
222,w&ker,wnker
223,wn@er,wnker
224,wkner,wnker
225,wnkre,wnker
226,nker,wnker
227,wner,wnker
228,azz,azz
229,azz,azz
230,a22,azz
231,a22,azz
232,azz,azz
233,azz,azz
234,azz,azz
235,azz,azz
236,azz,azz
237,azz,azz
238,azz,azz
239,azz,azz
240,packe%fudgeJsad,packerfudgehead
241,pafkerfudgehezX,packerfudgehead
242,packekfod9ehead,packerfudgehead
243,pacrekfud9ehead,packerfudgehead
