,sentence,label
0,"urgh, chicks are so tiresome",hate
1,"urgh, chicks are so tiresome",hate
2,"urgh, chicks are so tiresome",hate
3,"urgh, chicks are so tiresome",hate
4,"urgh, chicks are so tiresome",hate
5,"urgh, chicks are so tiresome",hate
6,the thought of a world free of gay tards makes me so happy,hate
7,the thought of a world free of gaysian tards makes me so happy,hate
8,the thought of a world free of b1tch tards makes me so happy,hate
9,the thought of a world free of g@y tards makes me so happy,hate
10,the thought of a world free of g@yshit tards makes me so happy,hate
11,the thought of a world free of gayness tards makes me so happy,hate
12,to all the trans: you are all sick,hate
13,to all the trans: you are all sick,hate
14,to all the trans: you are all sick,hate
15,to all the trans: you are all sick,hate
16,to all the trans: you are all sick,hate
17,to all the trans: you are all sick,hate
18,foreigners are the antithesis of emotional stability,hate
19,foreigners are the antithesis of emotional stability,hate
20,foreigners are the antithesis of emotional stability,hate
21,foreigners are the antithesis of emotional stability,hate
22,foreigners are the antithesis of emotional stability,hate
23,foreigners are the antithesis of emotional stability,hate
24,lezzas are intolerable,hate
25,lezzas are intolerable,hate
26,lezzas are intolerable,hate
27,lezzas are intolerable,hate
28,lezzas are intolerable,hate
29,lezzas are intolerable,hate
30,fuck the tories,nothate
31,pig the tories,nothate
32,phuckings the tories,nothate
33,off the tories,nothate
34,fcked the tories,nothate
35,phuckings the tories,nothate
36,The world can be a happier place without ragheads,hate
37,The world can be a happier place without raghead,hate
38,The world can be a happier place without raghead,hate
39,The world can be a happier place without raghead,hate
40,The world can be a happier place without raghead,hate
41,The world can be a happier place without raghead,hate
42,it is disgustingly ok for the transgenders to participate in the women's events,hate
43,it is disgustingly ok for the transgenders to participate in the women's events,hate
44,it is disgustingly ok for the transgenders to participate in the women's events,hate
45,it is disgustingly ok for the transgenders to participate in the women's events,hate
46,it is disgustingly ok for the transgenders to participate in the women's events,hate
47,it is disgustingly ok for the transgenders to participate in the women's events,hate
48,"this is getting ridiculous, why does everyone think ragheads are not evil, they really are and it should be common knowledge to everyone, I dont want to have to go around informing people when they should already know",hate
49,"this is getting ridiculous, why does everyone think raghead are not evil, they really are and it should be common knowledge to everyone, I don  t want to have to hell around informing people when they should already know",hate
50,"this is getting ridiculous, why does everyone think raghead are not evil, they really are and it should be common knowledge to everyone, I don  t want to have to hell around informing people when they should already know",hate
51,"this is getting ridiculous, why does everyone think raghead are not evil, they really are and it should be common knowledge to everyone, I don  t want to have to hell around informing people when they should already know",hate
52,"this is getting ridiculous, why does everyone think raghead are not evil, they really are and it should be common knowledge to everyone, I don  t want to have to hell around informing people when they should already know",hate
53,"this is getting ridiculous, why does everyone think raghead are not evil, they really are and it should be common knowledge to everyone, I don  t want to have to hell around informing people when they should already know",hate
54,lets talk about opposite concepts like black women and politeness,hate
55,lets talk about opposite concepts like black women and politeness,hate
56,lets talk about opposite concepts like black women and politeness,hate
57,lets talk about opposite concepts like black women and politeness,hate
58,lets talk about opposite concepts like black women and politeness,hate
59,lets talk about opposite concepts like black women and politeness,hate
60,I want to cut every single p0ll0ck into tiny pieces,hate
61,I want to cut every single p0ll0ck into tiny pieces,hate
62,I want to cut every single p0ll0ck into tiny pieces,hate
63,I want to cut every single p0ll0ck into tiny pieces,hate
64,I want to cut every single p0ll0ck into tiny pieces,hate
65,I want to cut every single p0ll0ck into tiny pieces,hate
66,the Tesco advert is very diverse and everyone is celebrating it!? you can bet next time all the other supermarkets will be including disabled muslims in their adverts and being celebrated too.. yawn,hate
67,the Tesco advert is very diverse and everyone is celebrating it!? you can bet next time all the other supermarkets will be including disabled muslims in their adverts and being celebrated too.. yawn,hate
68,the Tesco advert is very diverse and everyone is celebrating it!? you can bet next time all the other supermarkets will be including disabled muslims in their adverts and being celebrated too.. yawn,hate
69,the Tesco advert is very diverse and everyone is celebrating it!? you can bet next time all the other supermarkets will be including disabled muslims in their adverts and being celebrated too.. yawn,hate
70,the Tesco advert is very diverse and everyone is celebrating it!? you can bet next time all the other supermarkets will be including disabled muslims in their adverts and being celebrated too.. yawn,hate
71,the Tesco advert is very diverse and everyone is celebrating it!? you can bet next time all the other supermarkets will be including disabled muslims in their adverts and being celebrated too.. yawn,hate
72,Only horrible people will judge someone for being jew,nothate
73,Only horrible people will judge someone for being jewboy,nothate
74,Only horrible people will judge someone for being jewboy,nothate
75,Only horrible people will judge someone for being jewboy,nothate
76,Only horrible people will judge someone for being jewboy,nothate
77,Only horrible people will judge someone for being jewboy,nothate
78,"I dont think it's a coincidence that MLK has a federal holiday but MalcolmX and the Black Panthers don't. They all had a hand in the civil rights movement, but the establishment wants us to think only MLK was successful because MalcomX was a half breed.",hate
79,"I dont think it's a coincidence that MLK has a federal holiday but MalcolmX and the Black Panthers don't. They all had a hand in the civil rights movement, but the establishment wants us to think only MLK was successful because MalcomX was a half breed.",hate
80,"I dont think it's a coincidence that MLK has a federal holiday but MalcolmX and the Black Panthers don't. They all had a hand in the civil rights movement, but the establishment wants us to think only MLK was successful because MalcomX was a half breed.",hate
81,"I dont think it's a coincidence that MLK has a federal holiday but MalcolmX and the Black Panthers don't. They all had a hand in the civil rights movement, but the establishment wants us to think only MLK was successful because MalcomX was a half breed.",hate
82,"I dont think it's a coincidence that MLK has a federal holiday but MalcolmX and the Black Panthers don't. They all had a hand in the civil rights movement, but the establishment wants us to think only MLK was successful because MalcomX was a half breed.",hate
