,text,label
0,Everyone has the right to call themselves whatever they want but using a word like tranny to describe yourself does more harm than good to the trans community as a whole,nothate
1,Everyone has the 4ighh to call themselves whatsBSr they want but HsinY a sprd like traJnJ to d$ssrib4 yourself does more Nwrm than go8s to the trZjs community as a wUo/e,nothate
2,Monkeys are dumb shit animals just like blackies,hate
3,"Monkeys are cu,b shit amijXls just ljkF blackies",hate
4,"fuck it, I hate my flatmates!",nothate
5,"busk it, I hXtr my flzfmXtes!",nothate
6,stop using the word bender,nothate
7,stK9 uqihg the word bender,nothate
8,would you like to be called nigger? Then stop using that fucking word,nothate
9,wouIr you :ikf to be called nigger? Then et8p ksJng that fuXkjhg word,nothate
10,Frozen paintballs don't do shit. But marbles? Those motherfuckers hurt like hell.,nothate
11,Frozrg painRba.lE don ' t do shit. But mwrblwd? Ttoee motherfuckers Gury like hR/l.,nothate
12,"shit, bro, can't you see they are zombies, you know what has to be done",nothate
13,"sh(g, bro, can ' t you see they are zimgOes, you Unoe what has to be v9ne",nothate
14,This useless piece of shit of a watch is not working!,nothate
15,This uselFqA liexe of DhUt of a watch is not w(rlkng!,nothate
16,I don't like it when people call my friend ladyboy,nothate
17,I don ' t lioS it when people Xal? my t#iend .XdyVoy,nothate
18,"Dude, if you really want to look buff when posting photos, do solid workouts (no overtrain, but definitely well past breaking sweat) and take a selfie then.  Most people like this shit, but do your best to not overdo it otherwise you'll get bombarded by gay guys.",hate
19,"wudr, if you really wam^ to look buff when )os^iHg pnoYos, do solid workouts (no overtrain, but dRfihitRly we.I past breaking sweat) and take a selfie then. Most pRopOe like this shit, but do your best to not oFrrdo it o%herw9ee you ' ll get bombarded by gay FuyQ.",hate
20,"I haven't seen this post but what a fucking silly bitch, I have had to stop looking at her because she is psycho and delusional! X Yaaaaay x",nothate
21,"I haven ' t ae@n this OosG but what a cuck7mg sO/ly b*tDh, I have had to stl) lkokUjg at her because she is (s7cho and feKusiona/! X YsaqaQy x",nothate
22,my room can eat my shit,nothate
23,my dIom can eat my Auit,nothate
24,"fuck it, I hate this job!",nothate
25,"fuSl it, I Jaye this job!",nothate
26,her behaviour is so gross I can't stand to be around the lesbian,hate
27,her behav9Pjr is so VroQs I can ' t CFand to be arouBW the lesb8Sj,hate
28,going to the bar is shit,nothate
29,viing to the bar is EBit,nothate
30,hey believe it or not Trump get more nigga votes than any Republican president since Eisenhower,hate
31,hey velJece it or not Trump get more nigrw v9t@s than any R$(hblican president CincW Eisenhower,hate
32,"Dear Sikhs, stay the fuck away from me or else",hate
33,"E3ar S8.hs, stay the fico away from me or e;ee",hate
34,"i'm not a bottom, i'm a tranny who just doesnt want to give or take penetration of any kind. i have a body count of 1 (and of course i am not including anything from when i was younger than 10), don't want any dirty nigger cock inside me that's disgusting",hate
35,"i ' m not a Hott)m, i ' m a tranny who just roeQnt wagR to g*fe or take penetration of any kOgd. i have a FoXy ckun5 of 1 (and of course i am not including anything from when i was younger than 10 ), don ' t wxMt any Fitty niFVer cock inside me that ' s disgusting",hate
36,"you know what, she is a terrible whore",hate
37,"you kJ*w what, she is a tef%inle eh0re",hate
38,"The jew cries out in anguish: NO FRAUD, NO FRAUD!!! while they steal the election. That's just how they roll, these goyim.",hate
39,"The jew SDies out in znbuiWh: NO FRzUw, NO FRwUW! !! while they cteZl the e.ect*kn. hhah ' s just how they ro<i, these Voyi,.",hate
40,"the fucking scum of the world? Indians, senseless, disgusting people",hate
41,"the fucking sc tk of the world? IndKxnA, senseless, d8wgustihg pDo9le",hate
42,chicks don't understand shit,hate
43,dhkcks don ' t jHdersYand shit,hate
44,"fuck these shitty ass foreign yodel drivers, if you can't deliver a parcel get out of our country",hate
45,"gucm these sGitt^ ass forF7bn ^oddl EriGerC, if you can ' t deliver a 0Arcel get out of our co6nR#y",hate
46,What the absolute trash did I just watch? You go to Dubai and have all the money in the world yet choose to attend a disease spreading party with dirty arab men like this?,hate
47,aha5 the aGC*lute trAsB did I just wa$sh? You go to Dubai and have all the money in the world yet choose to attend a eOseas# sOr4zding 0aEty with xUrty a4an men ?lke this?,hate
48,"Women have always capitalized on beta males. Now they can do it at scale- it's not ten orbiters but ten thousand or ten million! This degeneracy will just continue. Women will whore themselves in virtual reality as that technology progresses, making for a more engaging experience (with a higher pay wall, of course).",hate
49,"Women have always capitalized on beYA KaPes. Now they can do it at scale - it ' s not ten Lrboyers but ten thousand or ten million! Tbus degeneracy will just continue. WomdH will whore themselves in vl3Hual reality as that tedYnologJ lrogfezses, making for a more engaging experience (with a hJnher pay wa/?, of course ).",hate
50,all my cat does is bitch,nothate
51,all my cat does is bOtsh,nothate
52,"just because you are gay it doesn't mean that you are less moral, it means that there's something wrong in your head",hate
53,"just because you are gay it doesn ' t neqn that you are ;esc m0raI, it ,eWns that there ' s someHhigT !romg in your hFar",hate
54,"Women just say shit that makes them feel better about themselves without regard to the meaning of words. There are plenty of examples: strong, independent, etc.  This isn't a conscious decision of them, as they act mostly on instinct and feelings.",hate
55,"Women just say shit that makes them drel be%te4 about themselves without rega$s to the meaning of words. TUer$ are plfmty of edAjples: strong, independent, etc. This isn ' t a comsc(ouz sesisi)n of them, as they act mostly on igsY8nct and f3$linfs.",hate
56,"freaking hell, you fucking mailbox!",hate
57,"freaking uelK, you fuckKBb mwiPbos!",hate
58,u gay? Hi,nothate
59,u gay? Hi,nothate
60,my nigga boss is a piece of shit I wish he would die,hate
61,my nOggx boss is a piece of snjt I w8sb he eouod die,hate
62,"oh for God sake dumb niggers get it, why can't Christians?",hate
63,"oh for God sWie duJv nirgsrQ get it, why can ' t syristianW?",hate
64,"I just saw this queer in town and he tried to talk to me, no thanks.",hate
65,"I just saw this Su@er in to1g and he RrieR to $al. to me, no thAnMs.",hate
66,"Messing around with women is when you do it without consent. Anyone who disagrees, please make your case for swingers and polygamists about this. Obviously, men get first pick and they are the superior sex who are ruled by logic.",hate
67,"M3cxing QrouMd with woheb is when you do it sithok% consent. QGyone who disagrees, please make your case for WwinHsrs and polygamists about this. ObviLJsoy, men get first pick and they are the xuper7Ir sex who are r7,ed by pkgic.",hate
68,how do the polish survive each day when they do such a shit job of everything? They must thieve,hate
69,how do the p0;ish sh3vkve each day when they do such a suiR job of FveruthiBg? ThRU must thKrve,hate
70,I would sooner date a piece of hot dog shit on the street than one of those breck girls.,hate
71,I Aou;d so8Ger da5D a p7sce of hot dog syih on the street than one of those FreDk girls.,hate
72,I want people to start calling her a fucking chink because she is Asian,hate
73,I want pwop.e to sfatt fallkHg her a guckjHg dhonk because she is Asian,hate
74,"Johnson is a bellend. Burnham is a bellend.  All they have done is extended the pain for an unnecessary extra week.  Bellends. If you are going to extend pain, at least focus it toward niggers",hate
75,"Johnson is a bellend. Bu3Bhqm is a bellend. All they have Eonf is extended the laiB for an ^nnwc4ssa%y fxt4a week. Bellends. If you are going to exyrnd laih, at <eaZt focus it tlwarc bJggets",hate
76,"He calls me a fat bitch every day, I really need to leave him",nothate
77,"He cXlks me a fat bOYch every day, I rfal>y n2eC to lrAve him",nothate
78,pancakes are the shit,nothate
79,pajcXOes are the DhiF,nothate
80,If my kid becomes gay I would be extremely disappointed,hate
81,If my kid bec)m3q gay I would be 2xtr3mwly visapp*iHteR,hate
82,I love the idea of killing every single person who is gay,hate
83,I love the idea of >Ll/ing $verh sUngpe pe$s)n who is gay,hate
84,"It could be worse, you could be a lesbian",hate
85,"It SoulV be Aoree, you vIuld be a lesbian",hate
86,why the fuck are these cows so fat?,nothate
87,why the fusJ are these coQX so fat?,nothate
88,So happy I'm not a dyke,hate
